question,ground_truth,contexts,evolution_type
Việc thông báo xử lý dữ liệu cá nhân phải được thực hiện khi nào?,Việc thông báo xử lý dữ liệu cá nhân được thực hiện một lần trước khi tiến hành hoạt động xử lý dữ liệu cá nhân.,[],factual
Khi nào có thể xử lý dữ liệu cá nhân mà không cần sự đồng ý của chủ thể dữ liệu?,"Có thể xử lý dữ liệu cá nhân không cần sự đồng ý trong các trường hợp như khẩn cấp để bảo vệ tính mạng, sức khỏe; công khai dữ liệu theo quy định của luật; cơ quan nhà nước xử lý trong tình trạng khẩn cấp về quốc phòng, an ninh, trật tự an toàn xã hội, thảm họa, dịch bệnh; thực hiện nghĩa vụ theo hợp đồng; hoặc phục vụ hoạt động của cơ quan nhà nước theo luật chuyên ngành.",[],factual
Việc xử lý dữ liệu cá nhân của trẻ em cần điều kiện gì?,"Việc xử lý dữ liệu cá nhân của trẻ em phải bảo vệ quyền và lợi ích tốt nhất của trẻ em; nếu trẻ em từ đủ 7 tuổi trở lên thì cần sự đồng ý của trẻ em và sự đồng ý của cha, mẹ hoặc người giám hộ, trừ trường hợp quy định tại Điều 17.",[],factual
"Khi phát hiện vi phạm quy định bảo vệ dữ liệu cá nhân, phải thông báo trong thời hạn bao lâu?",Bên Kiểm soát dữ liệu cá nhân hoặc Bên Kiểm soát và xử lý dữ liệu cá nhân phải thông báo cho Bộ Công an chậm nhất 72 giờ sau khi xảy ra hành vi vi phạm; nếu thông báo sau 72 giờ thì phải kèm lý do chậm.,[],factual
Cơ quan chuyên trách bảo vệ dữ liệu cá nhân là cơ quan nào?,"Cơ quan chuyên trách bảo vệ dữ liệu cá nhân là Cục An ninh mạng và phòng, chống tội phạm sử dụng công nghệ cao thuộc Bộ Công an.",[],factual
Công ty trong tờ khai thuế GTGT là công ty nào?,Tên người nộp thuế trong tờ khai là CÔNG TY CỔ PHẦN DHA SURFACES.,[],factual
Mã số thuế của Công ty Cổ phần DHA Surfaces là bao nhiêu?,Mã số thuế của Công ty Cổ phần DHA Surfaces là 0106769437.,[],factual
Kỳ tính thuế trong tờ khai thuế GTGT của DHA Surfaces là kỳ nào?,Kỳ tính thuế trong tờ khai là Quý 4 năm 2024.,[],factual
Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang của DHA Surfaces là bao nhiêu?,Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang là 77.377.803 đồng.,[],factual
Thuế giá trị gia tăng còn phải nộp trong kỳ của DHA Surfaces là bao nhiêu?,Thuế giá trị gia tăng còn phải nộp trong kỳ của DHA Surfaces là 52.133.830 đồng.,[],factual
Bảo vệ dữ liệu cá nhân được định nghĩa như thế nào?,"Bảo vệ dữ liệu cá nhân là hoạt động phòng ngừa, phát hiện, ngăn chặn, xử lý hành vi vi phạm liên quan đến dữ liệu cá nhân theo quy định của pháp luật.",[],factual
Xử lý dữ liệu cá nhân bao gồm những hoạt động nào?,"Xử lý dữ liệu cá nhân bao gồm thu thập, ghi, phân tích, xác nhận, lưu trữ, chỉnh sửa, công khai, kết hợp, truy cập, truy xuất, thu hồi, mã hóa, giải mã, sao chép, chia sẻ, truyền đưa, cung cấp, chuyển giao, xóa, hủy dữ liệu cá nhân hoặc các hành động khác có liên quan.",[],factual
Tổng doanh thu hàng hóa dịch vụ bán ra của DHA Surfaces là bao nhiêu?,"Tổng doanh thu hàng hóa, dịch vụ bán ra là 3.703.688.610 đồng.",[],factual
Thuế GTGT của hàng hóa mua vào trong kỳ là bao nhiêu?,"Thuế giá trị gia tăng của hàng hóa, dịch vụ mua vào là 215.163.767 đồng.",[],factual
Hàng hóa bán ra chịu thuế suất 10% có giá trị bao nhiêu?,"Hàng hoá, dịch vụ bán ra chịu thuế suất 10% có giá trị 3.703.688.610 đồng.",[],factual
"So sánh quyền và nghĩa vụ của chủ thể dữ liệu theo Nghị định 13, quyền nào có thể bị hạn chế?","Hầu hết các quyền của chủ thể dữ liệu đều có thể bị hạn chế trong trường hợp luật có quy định khác, bao gồm quyền được biết, quyền truy cập, quyền rút lại sự đồng ý, quyền xóa dữ liệu, quyền hạn chế xử lý và quyền cung cấp dữ liệu. Nghĩa vụ của chủ thể dữ liệu không có ngoại lệ.",[],reasoning
Tại sao Nghị định 13 quy định thời hạn 72 giờ cho nhiều hoạt động khác nhau?,"Nghị định 13 quy định thời hạn 72 giờ cho nhiều hoạt động như hạn chế xử lý dữ liệu, cung cấp dữ liệu, xóa dữ liệu, chỉnh sửa dữ liệu và thông báo vi phạm. Thời hạn 72 giờ nhằm đảm bảo phản ứng nhanh trong khi vẫn cho phép đủ thời gian xử lý.",[],reasoning
"Điểm khác biệt giữa Bên Kiểm soát, Bên Xử lý, và Bên Kiểm soát và xử lý dữ liệu cá nhân là gì?","Bên Kiểm soát quyết định mục đích và phương tiện xử lý. Bên Xử lý thực hiện xử lý thay mặt Bên Kiểm soát thông qua hợp đồng. Bên Kiểm soát và xử lý vừa quyết định mục đích, phương tiện vừa trực tiếp xử lý dữ liệu cá nhân.",[],reasoning
Thuế GTGT phát sinh trong kỳ được tính như thế nào từ các chỉ tiêu trong tờ khai?,Thuế GTGT phát sinh trong kỳ = Thuế GTGT hàng bán ra - Thuế GTGT hàng mua vào được khấu trừ = 344.675.400 - 215.163.767 = 129.511.633 đồng.,[],reasoning
"Từ tờ khai thuế, DHA Surfaces có lãi hay lỗ trong hoạt động kinh doanh Quý 4/2024?","Dựa trên tờ khai thuế GTGT, doanh thu bán ra (3.703.688.610 đồng) cao hơn giá trị hàng mua vào (2.405.743.241 đồng), cho thấy công ty có lãi gộp trong quý 4/2024.",[],reasoning
Nghị định 13 bảo vệ dữ liệu cá nhân của công dân Việt Nam ở nước ngoài như thế nào?,"Nghị định áp dụng cho cơ quan, tổ chức, cá nhân Việt Nam hoạt động tại nước ngoài. Việc chuyển dữ liệu cá nhân ra nước ngoài phải lập Hồ sơ đánh giá tác động và gửi Bộ Công an. Bộ Công an có quyền yêu cầu ngừng chuyển dữ liệu nếu phát hiện vi phạm.",[],reasoning
Sự im lặng của chủ thể dữ liệu có được coi là đồng ý không? Tại sao?,"Không. Theo Điều 11 khoản 6, sự im lặng hoặc không phản hồi của chủ thể dữ liệu không được coi là sự đồng ý. Điều này nhằm bảo vệ quyền lợi của chủ thể dữ liệu, tránh trường hợp bị xử lý dữ liệu khi chưa thực sự đồng ý.",[],reasoning
Trách nhiệm chứng minh sự đồng ý thuộc về ai? Vì sao điều này quan trọng?,"Trách nhiệm chứng minh sự đồng ý thuộc về Bên Kiểm soát dữ liệu cá nhân hoặc Bên Kiểm soát và xử lý dữ liệu cá nhân. Điều này quan trọng vì nó bảo vệ chủ thể dữ liệu trong tranh chấp, buộc bên xử lý phải lưu trữ bằng chứng đồng ý.",[],reasoning
So sánh biện pháp bảo vệ dữ liệu cá nhân cơ bản và nhạy cảm có gì khác nhau?,"Bảo vệ dữ liệu cơ bản áp dụng các biện pháp chung: quản lý, kỹ thuật, ban hành quy định, kiểm tra an ninh mạng. Bảo vệ dữ liệu nhạy cảm ngoài các biện pháp trên còn phải: chỉ định bộ phận/nhân sự chuyên trách, trao đổi với Cơ quan chuyên trách, và thông báo cho chủ thể dữ liệu.",[],reasoning
Tỷ lệ thuế GTGT thực tế mà DHA Surfaces phải nộp so với doanh thu là bao nhiêu phần trăm?,Tỷ lệ thuế GTGT thực tế = Thuế phải nộp / Doanh thu = 52.133.830 / 3.703.688.610 ≈ 1.41%. Con số này thấp hơn thuế suất 10% vì được khấu trừ thuế đầu vào.,[],reasoning
Phân tích chuỗi xử lý khi phát hiện vi phạm bảo vệ dữ liệu cá nhân theo Nghị định 13.,Chuỗi xử lý: (1) Bên Xử lý thông báo Bên Kiểm soát ngay khi phát hiện; (2) Bên Kiểm soát thông báo Bộ Công an trong 72 giờ; (3) Lập biên bản xác nhận; (4) Phối hợp với Cục An ninh mạng xử lý; (5) Nếu thông báo chậm phải kèm lý do.,[],reasoning
Giá trị hàng hóa nhập khẩu của DHA Surfaces trong kỳ là bao nhiêu và điều này nói lên gì?,"Giá trị hàng hóa nhập khẩu và thuế GTGT nhập khẩu đều bằng 0. Điều này cho thấy DHA Surfaces không nhập khẩu hàng hóa trực tiếp trong Quý 4/2024, toàn bộ nguyên liệu/hàng hóa đều mua trong nước.",[],reasoning
Tại sao Nghị định 13 phân biệt giữa dữ liệu cá nhân cơ bản và nhạy cảm?,"Việc phân biệt nhằm áp dụng mức độ bảo vệ phù hợp. Dữ liệu nhạy cảm gắn liền với quyền riêng tư sâu hơn, khi bị xâm phạm gây ảnh hưởng trực tiếp đến quyền và lợi ích hợp pháp của cá nhân, nên cần biện pháp bảo vệ nghiêm ngặt hơn.",[],reasoning
Nghị định 13 có quy định về xử lý dữ liệu cá nhân của động vật không?,"Không. Nghị định 13 chỉ quy định về bảo vệ dữ liệu cá nhân của con người (cá nhân), không áp dụng cho dữ liệu của động vật.",[],edge_case
"Nếu một công ty nước ngoài thu thập dữ liệu người Việt qua internet mà không có văn phòng tại Việt Nam, Nghị định 13 có áp dụng không?","Có. Nghị định áp dụng cho cơ quan, tổ chức, cá nhân nước ngoài trực tiếp tham gia hoặc có liên quan đến hoạt động xử lý dữ liệu cá nhân tại Việt Nam, bất kể có hiện diện vật lý hay không.",[],edge_case
Nhóm máu có phải là dữ liệu cá nhân nhạy cảm theo Nghị định 13 không?,"Không. Nghị định 13 quy định tình trạng sức khỏe và đời tư được ghi trong hồ sơ bệnh án là dữ liệu nhạy cảm, nhưng loại trừ rõ ràng thông tin về nhóm máu.",[],edge_case
DHA Surfaces có hàng hóa bán ra chịu thuế suất 5% không?,"Không. Theo tờ khai, giá trị hàng hoá bán ra chịu thuế suất 5% là 0 đồng. Toàn bộ hàng hóa bán ra chịu thuế suất 10%.",[],edge_case
DHA Surfaces có đề nghị hoàn thuế GTGT trong kỳ không?,"Không. Theo tờ khai, thuế giá trị gia tăng đề nghị hoàn (mục 42) là 0 đồng. Công ty không đề nghị hoàn thuế.",[],edge_case
Trẻ em dưới 7 tuổi có cần đồng ý cho xử lý dữ liệu cá nhân không?,"Không cần sự đồng ý trực tiếp của trẻ em dưới 7 tuổi. Nghị định chỉ yêu cầu sự đồng ý của trẻ em từ đủ 7 tuổi trở lên. Tuy nhiên vẫn cần sự đồng ý của cha, mẹ hoặc người giám hộ.",[],edge_case
"Nếu chủ thể dữ liệu đã chết, ai có quyền đồng ý xử lý dữ liệu của họ?","Vợ/chồng hoặc con thành niên. Nếu không có, thì cha/mẹ. Nếu không có tất cả những người trên thì coi là không có sự đồng ý.",[],edge_case
Nghị định 13 có cho phép mua bán dữ liệu cá nhân không?,"Không. Dữ liệu cá nhân không được mua, bán dưới mọi hình thức, trừ trường hợp luật có quy định khác. Việc tổ chức mua bán dữ liệu cá nhân không có sự đồng ý là vi phạm pháp luật.",[],edge_case
Tờ khai thuế GTGT có phải là tờ khai lần đầu của DHA Surfaces không?,"Không. Theo mục [03], đây là tờ khai bổ sung lần thứ 1, không phải lần đầu.",[],edge_case
Nghị định 13 có quy định gì về sử dụng dữ liệu cá nhân cho mục đích quảng cáo?,"Tổ chức, cá nhân kinh doanh dịch vụ tiếp thị, quảng cáo chỉ được sử dụng dữ liệu cá nhân khi có sự đồng ý của chủ thể dữ liệu, trên cơ sở khách hàng biết rõ nội dung, phương thức, hình thức, tần suất giới thiệu sản phẩm.",[],edge_case
Ai ký tờ khai thuế GTGT của DHA Surfaces?,"Tờ khai được ký điện tử bởi Trịnh Thị Sang, đại diện hợp pháp của Công ty Cổ phần DHA Surfaces, ngày 24 tháng 01 năm 2025.",[],edge_case
Thời tiết ngày mai ở Hà Nội thế nào?,Không có thông tin. Câu hỏi nằm ngoài phạm vi tài liệu về Nghị định 13 và tờ khai thuế GTGT.,[],edge_case
Thuế GTGT còn được khấu trừ chuyển kỳ sau của DHA Surfaces là bao nhiêu?,Thuế giá trị gia tăng còn được khấu trừ chuyển kỳ sau (mục 43) là 0 đồng.,[],edge_case
Hồ sơ đánh giá tác động xử lý dữ liệu phải gửi cho cơ quan nào trong bao lâu?,"Hồ sơ phải gửi cho Bộ Công an (Cục An ninh mạng và phòng, chống tội phạm sử dụng công nghệ cao) trong thời gian 60 ngày kể từ ngày tiến hành xử lý dữ liệu cá nhân.",[],factual
